date,account,category,amount,currency,converted amount,currency,description
10/05/2019,Cash,Gifts,"-1,000",PHP,"-1,000",PHP,
11/05/2019,Cash,Transport,-10,PHP,-10,PHP,
11/05/2019,Cash,Food,-6,PHP,-6,PHP,
11/05/2019,Cash,Food,-95,PHP,-95,PHP,
11/05/2019,Cash,Food,-89,PHP,-89,PHP,
11/05/2019,Cash,Food,-9,PHP,-9,PHP,
11/05/2019,Cash,Food,-150,PHP,-150,PHP,
11/05/2019,Cash,Food,-42,PHP,-42,PHP,
12/05/2019,Cash,Haircut,-50,PHP,-50,PHP,
12/05/2019,Cash,Gifts,-20,PHP,-20,PHP,
13/05/2019,Cash,Food,-45,PHP,-45,PHP,
13/05/2019,Cash,Food,-54,PHP,-54,PHP,
14/05/2019,Cash,Transport,-7,PHP,-7,PHP,
14/05/2019,Cash,Transport,-175,PHP,-175,PHP,
14/05/2019,Cash,Food,-50,PHP,-50,PHP,
14/05/2019,Cash,Food,-30,PHP,-30,PHP,
14/05/2019,Cash,Food,-41,PHP,-41,PHP,
14/05/2019,Cash,Transport,-10,PHP,-10,PHP,
15/05/2019,Cash,Food,-22,PHP,-22,PHP,
15/05/2019,Cash,Transport,-10,PHP,-10,PHP,
15/05/2019,Cash,Transport,-10,PHP,-10,PHP,
15/05/2019,Cash,Food,-30,PHP,-30,PHP,
16/05/2019,Cash,Transport,-10,PHP,-10,PHP,
16/05/2019,Cash,Food,-30,PHP,-30,PHP,
16/05/2019,Cash,Food,-16,PHP,-16,PHP,
16/05/2019,Cash,Food,-15,PHP,-15,PHP,
17/05/2019,Cash,Transport,-10,PHP,-10,PHP,
17/05/2019,BPI,To 'Cash',-500,PHP,-500,PHP,
17/05/2019,Cash,From 'BPI',500,PHP,500,PHP,
17/05/2019,Cash,Food,-28,PHP,-28,PHP,
17/05/2019,Cash,Transport,-8,PHP,-8,PHP,
17/05/2019,Cash,Eating out,-265,PHP,-265,PHP,
18/05/2019,BDO,Gift,-119,PHP,-119,PHP,
18/05/2019,Cash,Food,-100,PHP,-100,PHP,
18/05/2019,Cash,Food,-10,PHP,-10,PHP,
19/05/2019,Cash,Food,-85,PHP,-85,PHP,
19/05/2019,BPI,To 'Cash',"-2,800",PHP,"-2,800",PHP,
19/05/2019,Cash,From 'BPI',"2,800",PHP,"2,800",PHP,
